aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom
"a,x4","10.7485,0.437578",aflow:56428d5401825d75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb2O7Sn2_ICSD_163817,"4,14,4",Nb4O14Sn4,5.72543,-7.50126,-7.50126,22,0
"a,x4","10.605,0.840556",aflow:574859fb725b71ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Y2Zr2_ICSD_153818,"14,4,4",O14Y4Zr4,5.25984,-9.29112,-9.29112,22,0
"a,x4","10.8791,0.431187",aflow:580527b50331e5ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2S1_ICSD_166545,"12,4,4,2",F12Hg4Ni4S2,6.85685,-3.61464,-3.61464,22,0.363685
"a,x4","10.3939,0.829863",aflow:5882443e36213ebb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_161102,"4,14,4",Bi4O14Ru4,8.66097,-6.07804,-6.07804,22,0
"a,x4","10.5508,0.876173",aflow:5c939a2366507ada,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_261758,"4,14,4",Gd4O14Zr4,6.88738,-10.3493,-10.3493,22,1.27276
"a,x4","10.563,0.843012",aflow:5f7286e5bbc992cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_84748,"4,14,4",Ho4O14Sn4,7.65603,-7.10373,-7.10373,22,0
"a,x4","10.5943,0.835488",aflow:5f18888e5af5d54c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Hf2O7_ICSD_236213,"4,4,14",Gd4Hf4O14,8.75272,-11.0309,-11.0309,22,1.27271
"a,x4","10.4531,0.43274",aflow:5f84d645ff5d211c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159795,"4,14,4",Hg4O14Os4,10.393,-5.47961,-5.47961,22,0.530221
"a,x4","10.3439,0.822008",aflow:617c1650c2621b3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155764,"4,14,4",Cd4O14Os4,8.60872,-5.83499,-5.83499,22,0.544941
"a,x4","10.5298,0.832063",aflow:646ccd3a29e844e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Pt2_ICSD_161104,"4,14,4",Bi4O14Pt4,10.4695,-5.46846,-5.46846,22,0
"a,x4","10.4069,0.412518",aflow:647ebaa8849028fd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159773,"4,14,4",Mo4O14Tb4,7.32788,-8.16049,-8.16049,22,0.363634
"a,x4","10.5504,0.876215",aflow:6643c2cb85a58314,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_185396,"4,14,4",Gd4O14Zr4,6.88826,-10.3493,-10.3493,22,1.27276
