Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Lattice Parameter (Å),Thermal Conductivity (W/m/K),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,Temperature (K),Ionic Radius A (Å),Ionic Radius B (Å),oxygen_param_x,rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),compound_type,data_source
YSn2BiO7,"Bi,Y",Sn,"{""Bi"": 0.5, ""Y"": 0.5}","{""Sn"": 1.0}",10.5025,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.2Sn2Bi0.8O7,"Bi,Y",Sn,"{""Bi"": 0.4, ""Y"": 0.6}","{""Sn"": 1.0}",10.4189,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.2Sn2Bi0.8O7,"Bi,Y",Sn,"{""Bi"": 0.4, ""Y"": 0.6}","{""Sn"": 1.0}",10.3746,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.4Sn2Bi0.6O7,"Bi,Y",Sn,"{""Bi"": 0.3, ""Y"": 0.7}","{""Sn"": 1.0}",10.4147,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.4Sn2Bi0.6O7,"Bi,Y",Sn,"{""Bi"": 0.3, ""Y"": 0.7}","{""Sn"": 1.0}",10.3786,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.6Sn2Bi0.4O7,"Bi,Y",Sn,"{""Bi"": 0.2, ""Y"": 0.8}","{""Sn"": 1.0}",10.3697,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.8Sn2Bi0.2O7,"Bi,Y",Sn,"{""Bi"": 0.1, ""Y"": 0.9}","{""Sn"": 1.0}",10.3563,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YSn2BiO7,"Bi,Y",Sn,"{""Bi"": 0.5, ""Y"": 0.5}","{""Sn"": 1.0}",10.5022,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YbSn2BiO7,"Bi,Yb",Sn,"{""Bi"": 0.5, ""Yb"": 0.5}","{""Sn"": 1.0}",10.4661,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
NbInBi2O7,"Bi,In",Nb,"{""Bi"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.7793,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.5Bi1.5Ru2O6.938,"Bi,Nd",Ru,"{""Bi"": 0.75, ""Nd"": 0.25}","{""Ru"": 1.0}",10.3135,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.75Bi1.25Ru2O6.955,"Bi,Nd",Ru,"{""Bi"": 0.625, ""Nd"": 0.375}","{""Ru"": 1.0}",10.3175,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.825Bi1.175Ru2O6.996,"Bi,Nd",Ru,"{""Bi"": 0.5875, ""Nd"": 0.4125}","{""Ru"": 1.0}",10.3296,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.925Bi1.075Ru2O6.977,"Bi,Nd",Ru,"{""Bi"": 0.5375, ""Nd"": 0.4625}","{""Ru"": 1.0}",10.3345,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1Bi1Ru2O6.963,"Bi,Nd",Ru,"{""Bi"": 0.5, ""Nd"": 0.5}","{""Ru"": 1.0}",10.3303,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.25Bi0.75Ru2O6.978,"Bi,Nd",Ru,"{""Bi"": 0.375, ""Nd"": 0.625}","{""Ru"": 1.0}",10.3374,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.75Bi0.25Ru2O6.988,"Bi,Nd",Ru,"{""Bi"": 0.125, ""Nd"": 0.875}","{""Ru"": 1.0}",10.341,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Nd1Nb1.5Fe0.5O7,"Ca,Nd","Fe,Nb","{""Ca"": 0.5, ""Nd"": 0.5}","{""Nb"": 0.75, ""Fe"": 0.25}",10.4138,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
