Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Lattice Parameter (Å),Thermal Conductivity (W/m/K),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,Temperature (K),Ionic Radius A (Å),Ionic Radius B (Å),oxygen_param_x,rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),compound_type,data_source
Dy2ScNbO7,"Dy,Sc",Nb,"{""Dy"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.3601,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2NbGaO7,"Ga,Nd",Nb,"{""Nd"": 0.6666666666666666, ""Ga"": 0.3333333333333333}","{""Nb"": 1.0}",10.3534,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu2NbGaO7,"Eu,Ga",Nb,"{""Ga"": 0.3333333333333333, ""Eu"": 0.6666666666666666}","{""Nb"": 1.0}",10.2709,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2NbGaO7,"Ga,Gd",Nb,"{""Gd"": 0.6666666666666666, ""Ga"": 0.3333333333333333}","{""Nb"": 1.0}",10.2661,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy2NbGaO7,"Dy,Ga",Nb,"{""Dy"": 0.6666666666666666, ""Ga"": 0.3333333333333333}","{""Nb"": 1.0}",10.1992,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2NbInO7,"In,Nd",Nb,"{""Nd"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.5651,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2NbInO7,"Gd,In",Nb,"{""Gd"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.4839,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Mn0.6Nb0.6Bi0.8O3.4875,Bi,"Mn,Nb","{""Bi"": 1.0}","{""Nb"": 0.5, ""Mn"": 0.5}",10.47616,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Tb0.6Gd1.4Zr2O7,"Gd,Tb",Zr,"{""Gd"": 0.7, ""Tb"": 0.3}","{""Zr"": 1.0}",10.5036,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Bi0.5Ir2Pb1.5O7,"Bi,Ir",Pb,"{""Bi"": 0.2, ""Ir"": 0.8}","{""Pb"": 1.0}",10.1838,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
BiIr2PbO7,"Bi,Ir",Pb,"{""Bi"": 0.3333333333333333, ""Ir"": 0.6666666666666666}","{""Pb"": 1.0}",10.19191,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Bi1.5Ir2Pb0.5O7,Bi,"Ir,Pb","{""Bi"": 1.0}","{""Pb"": 0.2, ""Ir"": 0.8}",10.21714,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Y1.5Nb1.5O7,"Ca,Y",Nb,"{""Ca"": 0.4, ""Y"": 0.6}","{""Nb"": 1.0}",10.459,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.05Y1.45Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.4081632653061224, ""Y"": 0.5918367346938775}","{""Nb"": 0.9677419354838709, ""Eu"": 0.03225806451612903}",10.4618,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.15Y1.35Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.425531914893617, ""Y"": 0.574468085106383}","{""Nb"": 0.9090909090909092, ""Eu"": 0.09090909090909091}",10.4689,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.25Y1.25Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.4444444444444444, ""Y"": 0.5555555555555556}","{""Nb"": 0.8571428571428571, ""Eu"": 0.14285714285714285}",10.4747,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.375Y1.125Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.47058823529411764, ""Y"": 0.5294117647058824}","{""Nb"": 0.8, ""Eu"": 0.2}",10.4832,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.5Y1Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.5, ""Y"": 0.5}","{""Nb"": 0.75, ""Eu"": 0.25}",10.489,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca1Eu0.625Y0.875Nb1.5O7,"Ca,Y","Eu,Nb","{""Ca"": 0.5333333333333333, ""Y"": 0.4666666666666667}","{""Nb"": 0.7058823529411765, ""Eu"": 0.29411764705882354}",10.4991,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La2Y0.6667Zr0.6667Nb0.6667O7,"La,Y","Nb,Zr","{""La"": 0.7499906251171861, ""Y"": 0.25000937488281394}","{""Zr"": 0.5, ""Nb"": 0.5}",10.80698,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2Y0.6667Zr0.6667Nb0.6667O7,"Nd,Y","Nb,Zr","{""Nd"": 0.7499906251171861, ""Y"": 0.25000937488281394}","{""Zr"": 0.5, ""Nb"": 0.5}",10.68908,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2Y0.6667Zr0.6667Nb0.6667O7,"Sm,Y","Nb,Zr","{""Sm"": 0.7499906251171861, ""Y"": 0.25000937488281394}","{""Zr"": 0.5, ""Nb"": 0.5}",10.6231,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf1.6Ti0.4O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.8, ""Ti"": 0.2}",10.42488,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf0.8Ti1.2O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.4, ""Ti"": 0.6}",10.32151,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf0.4Ti1.6O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.2, ""Ti"": 0.8}",10.27171,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf1.6Ti0.4O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.8, ""Ti"": 0.2}",10.42064,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf1.2Ti0.8O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.6, ""Ti"": 0.4}",10.36858,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Hf0.8Ti1.2O7,Gd,"Hf,Ti","{""Gd"": 1.0}","{""Hf"": 0.4, ""Ti"": 0.6}",10.31717,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.1Sm1.9Zr1.9Sc0.1O7,"Sc,Sm","Ce,Zr","{""Sm"": 0.95, ""Sc"": 0.05}","{""Zr"": 0.95, ""Ce"": 0.05}",10.5758,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.2Sm1.8Zr1.8Sc0.2O7,"Sc,Sm","Ce,Zr","{""Sm"": 0.9, ""Sc"": 0.09999999999999999}","{""Zr"": 0.9, ""Ce"": 0.09999999999999999}",10.5718,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.3Sm1.7Zr1.7Sc0.3O7,"Sc,Sm","Ce,Zr","{""Sm"": 0.85, ""Sc"": 0.15}","{""Zr"": 0.85, ""Ce"": 0.15}",10.568,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Sm1.6Zr1.6Sc0.4O7,"Sc,Sm","Ce,Zr","{""Sm"": 0.8, ""Sc"": 0.2}","{""Zr"": 0.8, ""Ce"": 0.2}",10.56,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.8Ho0.2Zr2O7,"Ho,Nd",Zr,"{""Ho"": 0.1, ""Nd"": 0.9}","{""Zr"": 1.0}",10.6049,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.6Ho0.4Zr2O7,"Ho,Nd",Zr,"{""Ho"": 0.2, ""Nd"": 0.8}","{""Zr"": 1.0}",10.5871,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.4Ho0.6Zr2O7,"Ho,Nd",Zr,"{""Ho"": 0.3, ""Nd"": 0.7}","{""Zr"": 1.0}",10.5652,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.2Ho0.8Zr2O7,"Ho,Nd",Zr,"{""Ho"": 0.4, ""Nd"": 0.6}","{""Zr"": 1.0}",10.5607,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.1Ho0.9Zr2O7,"Ho,Nd",Zr,"{""Ho"": 0.45, ""Nd"": 0.55}","{""Zr"": 1.0}",10.5563,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
NdHoZr2O7,"Ho,Nd",Zr,"{""Ho"": 0.5, ""Nd"": 0.5}","{""Zr"": 1.0}",10.5093,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.9Eu0.1Ti2O7,"Eu,Gd",Ti,"{""Gd"": 0.95, ""Eu"": 0.05}","{""Ti"": 1.0}",10.187,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.8Eu0.2Ti2O7,"Eu,Gd",Ti,"{""Gd"": 0.9, ""Eu"": 0.1}","{""Ti"": 1.0}",10.188,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.5Eu0.5Ti2O7,"Eu,Gd",Ti,"{""Gd"": 0.75, ""Eu"": 0.25}","{""Ti"": 1.0}",10.191,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
EuGdTi2O7,"Eu,Gd",Ti,"{""Gd"": 0.5, ""Eu"": 0.5}","{""Ti"": 1.0}",10.197,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr2Sc0.27Mo1.73O6.97,"Pr,Sc",Mo,"{""Pr"": 0.8810572687224669, ""Sc"": 0.11894273127753305}","{""Mo"": 1.0}",10.5271,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sr0.2Sm1.8Mo2O7,"Sm,Sr",Mo,"{""Sm"": 0.9, ""Sr"": 0.1}","{""Mo"": 1.0}",10.4781,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2Ta0.66Ti1.34O7,Sm,"Ta,Ti","{""Sm"": 1.0}","{""Ti"": 0.67, ""Ta"": 0.33}",10.385,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nb1.48Co0.96Bi1.56O7,Bi,"Co,Nb","{""Bi"": 1.0}","{""Nb"": 0.6065573770491803, ""Co"": 0.39344262295081966}",10.5475,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti0.05Ir1.95O7,Y,"Ir,Ti","{""Y"": 1.0}","{""Ti"": 0.025, ""Ir"": 0.975}",10.242,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti0.1Ir1.9O7,Y,"Ir,Ti","{""Y"": 1.0}","{""Ti"": 0.05, ""Ir"": 0.95}",10.228,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti0.2Ir1.8O7,Y,"Ir,Ti","{""Y"": 1.0}","{""Ti"": 0.1, ""Ir"": 0.9}",10.218,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti0.3Ir1.7O7,Y,"Ir,Ti","{""Y"": 1.0}","{""Ti"": 0.15, ""Ir"": 0.85}",10.212,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ta1.867Cd1.733Bi0.4O7,"Bi,Cd",Ta,"{""Bi"": 0.1875293014533521, ""Cd"": 0.812470698546648}","{""Ta"": 1.0}",10.421,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho2ScNbO7,"Ho,Sc",Nb,"{""Ho"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.332,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2ScTaO7,"Sc,Sm",Ta,"{""Sm"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Ta"": 1.0}",10.466,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ta1.5Zn1Bi1.5O7,"Bi,Zn",Ta,"{""Bi"": 0.6, ""Zn"": 0.4}","{""Ta"": 1.0}",10.54,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.94Pr0.06Zr2O7,"La,Pr",Zr,"{""La"": 0.97, ""Pr"": 0.03}","{""Zr"": 1.0}",10.7807,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La0.4Yb0.4Sm0.4Eu0.4Gd0.4Zr2O7,"Eu,Gd,La,Sm,Yb",Zr,"{""La"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",10.5763,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La0.4Yb0.4Nd0.4Eu0.4Gd0.4Zr2O7,"Eu,Gd,La,Nd,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",10.5858,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La0.4Yb0.4Nd0.4Sm0.4Gd0.4Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",10.5937,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.1Nd2Zr1.9O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.95, ""Ce"": 0.05}",10.687,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.2Bi1.8Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.9, ""Y"": 0.1}","{""Ru"": 1.0}",10.2775,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.4Bi1.6Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.8, ""Y"": 0.2}","{""Ru"": 1.0}",10.2654,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.5Bi1.5Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.75, ""Y"": 0.25}","{""Ru"": 1.0}",10.2592,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.6Bi1.4Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.7, ""Y"": 0.3}","{""Ru"": 1.0}",10.2565,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.8Bi1.2Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.6, ""Y"": 0.4}","{""Ru"": 1.0}",10.2404,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YBiRu2O7,"Bi,Y",Ru,"{""Bi"": 0.5, ""Y"": 0.5}","{""Ru"": 1.0}",10.2273,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.2Bi0.8Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.4, ""Y"": 0.6}","{""Ru"": 1.0}",10.208,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.4Bi0.6Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.3, ""Y"": 0.7}","{""Ru"": 1.0}",10.1924,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.5Bi0.5Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.25, ""Y"": 0.75}","{""Ru"": 1.0}",10.1834,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.6Bi0.4Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.2, ""Y"": 0.8}","{""Ru"": 1.0}",10.1774,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.8Bi0.2Ru2O7,"Bi,Y",Ru,"{""Bi"": 0.1, ""Y"": 0.9}","{""Ru"": 1.0}",10.1525,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.2Bi1.8Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.9, ""Pr"": 0.1}","{""Ru"": 1.0}",10.3037,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.5Bi1.5Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.75, ""Pr"": 0.25}","{""Ru"": 1.0}",10.319,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.6Bi1.4Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.7, ""Pr"": 0.3}","{""Ru"": 1.0}",10.3217,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
PrBiRu2O7,"Bi,Pr",Ru,"{""Bi"": 0.5, ""Pr"": 0.5}","{""Ru"": 1.0}",10.3362,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.2Bi0.8Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.4, ""Pr"": 0.6}","{""Ru"": 1.0}",10.3489,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.4Bi0.6Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.3, ""Pr"": 0.7}","{""Ru"": 1.0}",10.3554,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.5Bi0.5Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.25, ""Pr"": 0.75}","{""Ru"": 1.0}",10.3565,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.6Bi0.4Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.2, ""Pr"": 0.8}","{""Ru"": 1.0}",10.3619,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.2Bi1.8Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.9, ""Nd"": 0.1}","{""Ru"": 1.0}",10.2988,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.5Bi1.5Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.75, ""Nd"": 0.25}","{""Ru"": 1.0}",10.3058,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.8Bi1.2Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.6, ""Nd"": 0.4}","{""Ru"": 1.0}",10.3142,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
NdBiRu2O7,"Bi,Nd",Ru,"{""Bi"": 0.5, ""Nd"": 0.5}","{""Ru"": 1.0}",10.3188,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.2Bi0.8Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.4, ""Nd"": 0.6}","{""Ru"": 1.0}",10.326,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.4Bi0.6Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.3, ""Nd"": 0.7}","{""Ru"": 1.0}",10.3311,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.5Bi0.5Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.25, ""Nd"": 0.75}","{""Ru"": 1.0}",10.3306,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.6Bi0.4Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.2, ""Nd"": 0.8}","{""Ru"": 1.0}",10.3341,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.8Bi0.2Ru2O7,"Bi,Nd",Ru,"{""Bi"": 0.1, ""Nd"": 0.9}","{""Ru"": 1.0}",10.3311,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.2Bi1.8Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.9, ""Sm"": 0.1}","{""Ru"": 1.0}",10.2948,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.5Bi1.5Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.75, ""Sm"": 0.25}","{""Ru"": 1.0}",10.2921,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmBiRu2O7,"Bi,Sm",Ru,"{""Bi"": 0.5, ""Sm"": 0.5}","{""Ru"": 1.0}",10.2902,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.2Bi0.8Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.4, ""Sm"": 0.6}","{""Ru"": 1.0}",10.2888,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.4Bi0.6Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.3, ""Sm"": 0.7}","{""Ru"": 1.0}",10.2862,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.5Bi0.5Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.25, ""Sm"": 0.75}","{""Ru"": 1.0}",10.2802,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.6Bi0.4Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.2, ""Sm"": 0.8}","{""Ru"": 1.0}",10.2831,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.8Bi0.2Ru2O7,"Bi,Sm",Ru,"{""Bi"": 0.1, ""Sm"": 0.9}","{""Ru"": 1.0}",10.2779,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy0.2Bi1.8Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.9, ""Dy"": 0.1}","{""Ru"": 1.0}",10.2839,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy0.5Bi1.5Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.75, ""Dy"": 0.25}","{""Ru"": 1.0}",10.2659,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy0.6Bi1.4Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.7, ""Dy"": 0.3}","{""Ru"": 1.0}",10.2649,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
DyBiRu2O7,"Bi,Dy",Ru,"{""Bi"": 0.5, ""Dy"": 0.5}","{""Ru"": 1.0}",10.2398,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy1.4Bi0.6Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.3, ""Dy"": 0.7}","{""Ru"": 1.0}",10.2016,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy1.5Bi0.5Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.25, ""Dy"": 0.75}","{""Ru"": 1.0}",10.2016,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy1.6Bi0.4Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.2, ""Dy"": 0.8}","{""Ru"": 1.0}",10.1931,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy1.8Bi0.2Ru2O7,"Bi,Dy",Ru,"{""Bi"": 0.1, ""Dy"": 0.9}","{""Ru"": 1.0}",10.1798,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Lu1.5Bi0.5Ru2O7,"Bi,Lu",Ru,"{""Bi"": 0.25, ""Lu"": 0.75}","{""Ru"": 1.0}",10.1187,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.5Bi0.5Ru2O7,"Bi,Gd",Ru,"{""Bi"": 0.25, ""Gd"": 0.75}","{""Ru"": 1.0}",10.2468,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.82Sc0.18Ti2O7,"Sc,Yb",Ti,"{""Yb"": 0.91, ""Sc"": 0.09}","{""Ti"": 1.0}",10.0082,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Tb2Zr0.2Sn1.8O7,Tb,"Sn,Zr","{""Tb"": 1.0}","{""Zr"": 0.1, ""Sn"": 0.9}",10.423759,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho2Ti1.6Ge0.4O7,Ho,"Ge,Ti","{""Ho"": 1.0}","{""Ti"": 0.8, ""Ge"": 0.2}",10.0965,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho2Ti1.2Ge0.8O7,Ho,"Ge,Ti","{""Ho"": 1.0}","{""Ti"": 0.6, ""Ge"": 0.4}",10.0551,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.82Sc0.18Ti2O7,"Sc,Yb",Ti,"{""Yb"": 0.91, ""Sc"": 0.09}","{""Ti"": 1.0}",10.0082,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.5Sn0.5O7,Y,"Sn,Ti","{""Y"": 1.0}","{""Ti"": 0.75, ""Sn"": 0.25}",10.3162,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2TiSnO7,Y,"Sn,Ti","{""Y"": 1.0}","{""Ti"": 0.5, ""Sn"": 0.5}",10.2532,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti0.5Sn1.5O7,Y,"Sn,Ti","{""Y"": 1.0}","{""Ti"": 0.25, ""Sn"": 0.75}",10.197,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.8Eu0.2Zr2O7,"Eu,La",Zr,"{""La"": 0.9, ""Eu"": 0.1}","{""Zr"": 1.0}",10.7999,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La15Dy2Zr14Ce3O63,"La,Dy,Ce",Zr,"{""La"": 0.3333333333333333, ""Dy"": 0.3333333333333333, ""Ce"": 0.3333333333333333}","{""Zr"": 1.0}",,,,1.05e-05,,,,,,,,,,,,,,,,,,,,high_entropy,Jordan_pyrochlore_data
La18Zr12Ce5O63,"La,Ce",Zr,"{""La"": 0.5, ""Ce"": 0.5}","{""Zr"": 1.0}",,,,1.123e-05,,,,,,,,,,,,,,,,,,,,high_entropy,Jordan_pyrochlore_data
La3Yb14Zr12Ce5O63,"La,Yb,Ce",Zr,"{""La"": 0.3333333333333333, ""Yb"": 0.3333333333333333, ""Ce"": 0.3333333333333333}","{""Zr"": 1.0}",,,,1.021e-05,,,,,,,,,,,,,,,,,,,,high_entropy,Jordan_pyrochlore_data
La9Yb9Zr9Ce9O63,"La,Yb,Ce",Zr,"{""La"": 0.3333333333333333, ""Yb"": 0.3333333333333333, ""Ce"": 0.3333333333333333}","{""Zr"": 1.0}",,,,1.043e-05,,,,,,,,,,,,,,,,,,,,high_entropy,Jordan_pyrochlore_data
