Composition,Sample A,Sample B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Yb2Zr2O7,,,,,,,,,,,,,,,,,,,,,0.985,0.72,1.1,1.33,,,
Yb2Hf2O7,,,,,,,,,,,,,,,,,,,,,0.985,0.71,1.1,1.3,,,
Lu2Hf2O7,,,,,,,,,,,,,,,,,,,,,0.977,0.71,1.27,1.3,,,
Fe2Ti2O7,,,,,,,,,,,,,,,,,,,,,0.78,0.605,1.83,1.54,,,
Bi2Ti2O7,,,,,,,,,,,,,,,,,,,,,1.17,0.605,2.02,1.54,,,
Cr2Ti2O7,,,,,,,,,,,,,,,,,,,,,,0.605,1.66,1.54,,,
Gd2Mn2O7,,,,,,,,,,,,,,,,,,,,,1.053,0.53,1.2,1.55,,,
Tl2Mn2O7,,,,,,,,,,,,,,,,,,,,,0.98,0.53,1.62,1.55,,,
Nd2Ce2O7,,,,,,,,,,,,,,,,,,,,,1.109,0.87,1.14,1.12,,,
Bi2Sn2O7,,,,,,,,,,,,,,,,,,,,,1.17,0.69,2.02,1.96,,,
Bi2Ru2O7,,,,,,,,,,,,,,,,,,,,,1.17,0.62,2.02,2.2,,,
Bi2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.17,0.68,2.02,1.5,,,
In2Ta2O7,,,,,,,,,,,,,,,,,,,,,0.92,0.68,1.78,1.5,,,
Ga2Ta2O7,,,,,,,,,,,,,,,,,,,,,,0.68,1.81,1.5,,,
Cr2Ta2O7,,,,,,,,,,,,,,,,,,,,,,0.68,1.66,1.5,,,
Co2Ti2O7,,,,,,,,,,,,,,,,,,,,,,0.605,1.88,1.54,,,
Sm2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.079,0.68,1.17,1.5,,,
Co2Ru2O7,,,,,,,,,,,,,,,,,,,,,,0.62,1.88,2.2,,,
Gd2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.053,0.68,1.2,1.5,,,
Y2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.019,0.68,1.22,1.5,,,
Gd2Ce2O7,,,,,,,,,,,,,,,,,,,,,1.053,0.87,1.2,1.12,,,
La2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.16,0.68,1.1,1.5,,,
Y2Ce2O7,,,,,,,,,,,,,,,,,,,,,1.019,0.87,1.22,1.12,,,
La2Ce2O7,,,,,,,,,,,,,,,,,,,,,1.16,0.87,1.1,1.12,,,
La2Mo2O7,,,,,,,,,,,,,,,,,,,,,1.16,0.65,1.1,2.16,,,
Gd2Th2O7,,,,,,,,,,,,,,,,,,,,,1.053,0.94,1.2,1.3,,,
Al2Th2O7,,,,,,,,,,,,,,,,,,,,,,0.94,1.61,1.3,,,
Al2Zr2O7,,,,,,,,,,,,,,,,,,,,,,0.72,1.61,1.33,,,
Sc2Zr2O7,,,,,,,,,,,,,,,,,,,,,0.87,0.72,1.36,1.33,,,
Sc2Ti2O7,,,,,,,,,,,,,,,,,,,,,0.87,0.605,1.36,1.54,,,
In2Ti2O7,,,,,,,,,,,,,,,,,,,,,0.92,0.605,1.78,1.54,,,
Dy2Ta2O7,,,,,,,,,,,,,,,,,,,,,1.027,0.68,1.23,1.5,,,
Ru2Pb2O7,,,,,,,,,,,,,,,,,,,,,,0.775,2.2,2.33,,,
Bi2Pb2O7,,,,,,,,,,,,,,,,,,,,,1.17,0.775,2.02,2.33,,,
Sm2Ce2O7,,,,,,,,,,,,,,,,,,,,,1.079,0.87,1.17,1.12,,,
Sc2Ce2O7,,,,,,,,,,,,,,,,,,,,,0.87,0.87,1.36,1.12,,,
Pr2Mo2O7,,,,,,,,,,,,,,,,,,,,,1.126,0.65,1.13,2.16,,,
Sc2Mo2O7,,,,,,,,,,,,,,,,,,,,,0.87,0.65,1.36,2.16,,,
Sc2Ta2O7,,,,,,,,,,,,,,,,,,,,,0.87,0.68,1.36,1.5,,,
